"","screenname","tweets"
"2628","Niqeljuan","RT @ARTISTstacy: This is brilliant and true.  Listen carefully.@realDonaldTrump , #Trump2016, #TrumpAlways,#TrumpTrain,#Election2016  https…"
"2629","mikeyardcomedy","If @realDonaldTrump wins the presidency I will jerk off a dolphin. #yardtalk #election2016 https://t.co/SHOyLfXQQ0 via @barstoolsports"
"2630","JDUsera","RT @The_Cantidates: #presidentialprimaries #Election2016 It's our turn to ask @realDonaldTrump something. Use #TrumpTellUs. Mine: https://t…"
"2631","NovaWahoo","FNC: @realDonaldTrump denied media credentials to @CLewandowski_ at his victory speech in Palm Beach, FL tonight. @megynkelly #Election2016"
"2632","kballnh","RT @RiskRewardFBN: A lifelong #Democrat joined us to explain why her #Election2016 vote is going to @realDonaldTrump @DeirdreBolton https:/…"
"2633","songbirder74","RT @paulmotty: #ArizonaPrimary could be the last chance to stop @realDonaldTrump #Election2016 https://t.co/QyIclpmQbl https://t.co/P0PTz5U…"
"2634","GOPSpaceRanger","@P45KR4NT5 you forgot your @Fleshlight 
@realDonaldTrump @RealDonalDrumpf #tcot #election2016 https://t.co/TUJZfxLtIq"
"2635","PortCityPisces","RT @DemGovs: Find out where GOP gov candidates stand on @realDonaldTrump https://t.co/Akbj11f7Jr #Election2016 #GovTrumpTracker https://t.c…"
"2636","izzysk","@cnn- did @realDonaldTrump just invite a woman on stage at a press conf to give her a decorating job?  #WTF #Election2016 #gop"
"2637","Sportymorty","@thehill How can @realDonaldTrump get a university degree &amp; speak like he does? I'm sure it's at a grade 3 level Joke! #Election2016 #2016"
"2638","JGMergens","@wpjenna @washingtonpost  Both. ""proves"" beliefs of @gop @realDonaldTrump voters so galvanize primary support; hurts him in #election2016"
"2639","ElijahNDelgado","RT @MikeHudema: I gotta say this makes a lot of sense. #Election2016  @realDonaldTrump @HillaryClinton @BernieSanders #Batman https://t.co/…"
"2640","maxyella","RT @foxnation: Conservatives Prepare To Back Independent Bid To Stop @realDonaldTrump https://t.co/nnRvCNB9a3 #Election2016 #DonaldTrump"
"2641","VeronicaCoffin","Donald Trump’s voting record released from New York City Election Office https://t.co/MWvqjALZrg @realDonaldTrump #GOP #Election2016"
"2642","buttonupatetsy","RT @RickCanton: TAKE THE PLEDGE!

Tell the @GOP - @realDonaldTrump won't get your vote. No matter what.

#NeverTrump #Election2016 https://…"
"2643","layinpipebombs","ALL THIS violence GOING ON WITH @realDonaldTrump  IS GOING TO "" BACKFIRE"" ON HIM COME ELECTION TIME #Election2016"
"2644","cprjon1","RT @foxnation: Poll: @SenTedCruz Takes HUGE Lead In Utah, @realDonaldTrump Dead Last https://t.co/9q0Fa92UIP #Election2016"
"2645","EricCarlson8686","RT @foxnation: Poll: @SenTedCruz Takes HUGE Lead In Utah, @realDonaldTrump Dead Last https://t.co/9q0Fa92UIP #Election2016"
"2646","myra_simons","RT @foxnation: Poll: @SenTedCruz Takes HUGE Lead In Utah, @realDonaldTrump Dead Last https://t.co/9q0Fa92UIP #Election2016"
"2647","4Billy_Jack","RT @foxnation: Poll: @SenTedCruz Takes HUGE Lead In Utah, @realDonaldTrump Dead Last https://t.co/9q0Fa92UIP #Election2016"
"2648","GeorgeGEdwards","50% GAP! @realDonaldTrump @tedcruz  @RobertJohnDavi #Trump2016 #TrumpTrain #MakeAmericaGreatAgain #GOP #Election2016 https://t.co/bNnPD7saXk"
"2649","enewsreference",".@dscc features @KellyAyotte and #USSenate candidates in latest ad on @realDonaldTrump #Election2016 #NHPolitics https://t.co/W5yEnMB0B3"
"2650","MLeeCrowther","RT @THE617VIP: CRAZY Video of @realDonaldTrump Using #Cocaine https://t.co/Il5Bo1iqC4 #Trump2016 #DonaldJTrump #Trump #Election2016 #drugs …"
"2651","DebWilliams57","RT @RickCanton: TAKE THE PLEDGE!

Tell the @GOP - @realDonaldTrump won't get your vote. No matter what.

#NeverTrump #Election2016 https://…"
"2652","sportsbetcomau","@realDonaldTrump campaign is ramping up! #Election2016 Check it out: https://t.co/gG4jZUH8RT https://t.co/pTSxo5fVua"
"2653","LeftePropaganda","Today is NOT a day for politics &amp; snark so… Good job there @realDonaldTrump #PrayForBrussels #GiveBlood #BrusselsAttack #Election2016 <f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8>"
"2654","JeremyDDickey","Both @realDonaldTrump and @tedcruz's wives must be so proud that they've become policy debate. #WesternTuesday #Election2016"
"2655","mcconnelljamesp","RT @foxnation: The Republican Party's Wrecked, Whether or Not @realDonaldTrump ...  https://t.co/Ku3h6ISip6 #Election2016"
"2656","hr072","After UT and AZ, clear that @realDonaldTrump ain't winning delegate math.. Brokered @GOP convention - advantage @tedcruz .. #Election2016"
"2657","iconthe911","RT @ARTISTstacy: @realDonaldTrump , #Election2016 , #Bernie2016 , #TrumpTrain, #trumptantrums , #politico, #education, #BarackObama https:/…"
"2658","TestTheBible","RT @RealAlexJones: Filmmaker Reveals Difference Between @realDonaldTrump And @tedcruz - https://t.co/SWuQiBvOMz #gop #election2016"
"2659","pldippolito","@tedcruz @realDonaldTrump Both of you - leave families &amp; wives out of this. It's not helping either w/image for Gen Election #Election2016"
"2660","revere_paul0604","RT @RickCanton: TAKE THE PLEDGE!

Tell the @GOP - @realDonaldTrump won't get your vote. No matter what.

#NeverTrump #Election2016 https://…"
"2661","ljok1999","RT @RickCanton: TAKE THE PLEDGE!

Tell the @GOP - @realDonaldTrump won't get your vote. No matter what.

#NeverTrump #Election2016 https://…"
"2662","bekunda24","RT @RickCanton: TAKE THE PLEDGE!

Tell the @GOP - @realDonaldTrump won't get your vote. No matter what.

#NeverTrump #Election2016 https://…"
"2663","Conspiraciestv","WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016  
 https://t.co/gpGSWPll8B"
"2664","Conspiraciestv","WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016   https://t.co/RMnHDAAek5"
"2665","Pat_Riot_72","RT @VeteranJuan: @realDonaldTrump @SenSanders #Trump #Sanders #FeelTheBern #Drumpf #Election2016 https://t.co/e2bTYxEGa9"
"2666","LisaBradford123","RT @eOpinionTvNews: WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016   https://t.co/eer2dDQelQ"
"2667","Tex1944","@realDonaldTrump @tedcruz #Election2016 TRUMP &amp; CRUZ WOULD MAKE a good ticket. I hope they don't chew each other up tonight."
"2668","lllittlefield","Surely I'm not the only one who would like to see Jon Stewart interview @realDonaldTrump? #election2016"
"2669","laurenpaige1985","RT @emurray1: Crowd is well over 1000 people now inside @BackAtTheMac to see @realDonaldTrump ! #politics #election2016 https://t.co/9DnJxvLMnE"
"2670","PolToons","It Still Looks Lopsided... by Lisa Benson #MerryChristmas @realDonaldTrump #Election2016 https://t.co/CUXG38plgm https://t.co/yYTZ9rKWYy"
"2671","Peoples_eye","RT @PolToons: Defying Gravity @realDonaldTrump via @sdutBreen #Election2016 #Trump2016 #StopHillary https://t.co/b0vjdEzg5v https://t.co/gZOBoygjNP"
"2672","Pappenjazz","As Always, @realDonaldTrump Simply Said It Like it Is!  #GOP #Media #Dem #Liberal #Election2016 #Trump2016 https://t.co/Wy0i8ytn8Z"
"2673","elfsox","@realDonaldTrump loves Putin but Ben Carson is looking to emulate #Stalin to revive his campaign. #Election2016 https://t.co/AlNLQkn8c0"
"2674","RobertCappucci","RT @PolToons: Defying Gravity @realDonaldTrump via @sdutBreen #Election2016 #Trump2016 #StopHillary https://t.co/b0vjdEzg5v https://t.co/gZOBoygjNP"
"2675","residentfFL","RT @EX_TX_QB: Shut up!!! ===&gt;&gt; @megynkelly &lt;&lt;===

Go @realDonaldTrump !!!!!!!!

#Election2016"
"2676","jacobsinger47","RT @ShennaFoxMusic: https://t.co/fNaobY2P2r 
At present 40% of Blacks and 45% of Hispanics behind @realDonaldTrump #Trump will win #Election2016 in a landslide"
"2677","RonaldPlatek","RT @KatrinaPierson: Excited @realDonaldTrump invited me to open his #Dallas rally! #Election2016 #Trump2016 http://t.co/ViOk6pSb0j"
"2678","Milosz_Cz","@realDonaldTrump mówi prawde a brytyjscy muzulmanie chca mu zabronic wjazdu do UK #Trump #Election2016 #Clinton #USA
https://t.co/jQOub4MpEm"
"2679","AmesMoreno","RT @eads_john: @realDonaldTrump #Trump2016 #election2016  https://t.co/ko104rwiOM"
"2680","AgainstIMBECILE","@realDonaldTrump your Trump ties are made in China - why don't you put a 40% tax on them? #Ford #Election2016 https://t.co/ncP5bXxt7a"
"2681","SallyAvicii2014","@realDonaldTrump @longtalltexan20 I Refuse To #VOTE For Hitlery Shes a Lieing Fraud! &amp; Incompetent Not Meant to Lead #America #election2016"
"2682","NickBNovak","The case against political correctness is not the case for @realDonaldTrump https://t.co/h6UujnaPzl #GOP2016 #Election2016"
"2683","thejenwilkinson","#trumptrain Take your time~#reflect ~#danger to #supporting .@realdonaldtrump in #power #Thankyou https://t.co/YmKNfAwzNF #Election2016"
"2684","MissAmerica_NY","@realDonaldTrump: Only 4% of funding for cancer research is given to pediatric. Do you have a plan to rectify this? #MoreThan4 #Election2016"
"2685","ExploreTheMill",".realDonaldTrump PHOTOS: Donald Trump in Rock Hill, SC #Election2016 jsiner #RockHill

https://t.co/aK6ExVlKsI https://t.co/SksltUVlQf vi…"
"2686","hckysnyder","RT @SputnikInt: .@realDonaldTrump gains highest support ahead of #NewHampshire primary vote https://t.co/BcefQy5mlQ #Election2016 https://t…"
"2687","TimKnowsBest","@Patriotress @slone @realDonaldTrump @tedcruz You know that you're wrong, right?  You are. Let it go. Please. #election2016"
"2688","shikari","Why didn't @realDonaldTrump name Lawrence Tribe @tribelaw as @tedcruz's law professor? #GOPDebate #Election2016 #debatedate #p2 #tcot"
"2689","ahadave","Hey, ""angry"" white @realDonaldTrump voters: If you own a home, your ""anger"" would probably be better classified as whining. #Election2016"
"2690","DomainMondo","RT @DrivingTheDay: Dem Debate Tonight LIVE #Election2016 - @realDonaldTrump vs @BernieSanders ? https://t.co/RKXeks77vy #Sanders2016 #Hilla…"
"2691","ADemaio12","If there was ever a doubt that @SarahPalinUSA was in this game for the $$, it's gone now. @realDonaldTrump #GOP #Election2016"
"2692","BurrackM","I would not be surprised if @realDonaldTrump taps @SarahPalinUSA as his VP nominee #uspoli #USA #Election2016  https://t.co/3X2LmfXZhD"
"2693","shannoncatoe","Bernie Sanders is a socialist/communist. @realDonaldTrump on @oreillyfactor Truth. @BernieSanders #Election2016"
"2694","PaulOttoNeumann","Do you hear that? That's Liberal heads exploding at @SarahPalinUSA teaming with @realDonaldTrump. I Love it! :-)
#Trump #Election2016"
"2695","batman4600","@foxnation @JohnKerry Check this out @tedcruz @realDonaldTrump @JimWebbUSA #Election2016 @FoxNews Dave"
"2696","PaddyOhanrahan","Moderates are key &amp; I'm Still wondering how @realDonaldTrump will appeal to moderates. 
He may not win if he can't.
#Trump2016 #Election2016"
"2697","TheLawyermag","RT @Lawyer2Bmag: Is it @realDonaldTrump? @HillaryClinton? @JebBush? Which candidate are American lawyers backing in #Election2016? -&gt; https…"
"2698","qthoot","These Dem candidates are hilarious! This will be an easy landslide win for @realDonaldTrump! #Trump #Election2016 #DemTownHall"
"2699","durovy","Now this would be a shakeup to the #Election2016 race! @MikeBloomberg &amp; @realDonaldTrump #face2face  https://t.co/sCubk2jG2d"
"2700","CraigNews3LV","An endorsement for @realDonaldTrump from @LibertyU.  #Election2016"
"2701","JPDBailey27","@realDonaldTrump skipping is the the definition of confidence (and stupidity) #Trump #TrumpWontDebate #TrumpForPresident #GOP #Election2016"
"2702","SallyAvicii2014","@NeilTurner_ @realDonaldTrump Spread this NationWide Please! #TrumpTrain #America #Election2016 #Americans #IowaCaucus #Iowa #NewHampshire"
"2703","GoToArtRave","#IowaCaucus 
Vote 4  @realDonaldTrump 
People of #GOP #DNC #Dems #Election2016 #REP
Unite 2 #MakeAmericaGreatAgain https://t.co/tJZtriWwiC"
"2704","GoToArtRave","#IowaCaucus Vote 4  @realDonaldTrump 
People of #GOP #DNC #Dems #Election2016 #REP
Unite 2 #MakeAmericaGreatAgain  https://t.co/oBIwzCyV0c"
"2705","buckfredrick","Anyone who thinks @realDonaldTrump is the worst thing this country is facing has clearly never had to use my phone. #election2016"
"2706","joehaber2","@foxNews @tedcruz @realDonaldTrump nobody likes Cruz @realDonaldTrump @RealBenCarson @cnn #Election2016"
"2707","ScotchPhoenix","Holy crap. @realDonaldTrump uses the force! He's a Sith Lord! 

#TheForceAwakens
#Election2016 <f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8> https://t.co/oJZMm0BlKK"
"2708","WalkToTheFire","@ElijahJHamilton couldn't have said it better myself, now let's just get @realDonaldTrump in office. #MakeAmericaGreatAgain #Election2016"
"2709","EMHSgoppel","RT @WSJGraphics: Where @realDonaldTrump, @tedcruz and @marcorubio are finding support in #Election2016: https://t.co/9dpleyRQsn https://t.c…"
"2710","ElkaSelzer","RT @PatriotCorner: General Election Poll. Who wins? @realDonaldTrump @BernieSanders #Election2016 #NHPrimary"
"2711","horton1981","RT @PatriotCorner: General Election Poll. Who wins? @realDonaldTrump @BernieSanders #Election2016 #NHPrimary"
"2712","HighVizAbility","RT @WSJGraphics: Where @realDonaldTrump, @tedcruz and @marcorubio are finding support in #Election2016: https://t.co/F7mQQU83SO https://t.c…"
"2713","Juliet777777","RT @KitDaniels1776: Here's Proof @realDonaldTrump Can Win Presidency --&gt; Crossover support! https://t.co/XXkCzw5MPS #tcot #Election2016 htt…"
"2714","ItsJessicaJolly","#Election2016 Living abroad while @realDonaldTrump runs for #POTUS is like watching your family's house burn to the ground while..."
"2715","tdh052883","@FoxBusiness - @realDonaldTrump has been very successful with multiple business ventures.       @SenWarren WTF? #Jealous #Election2016"
"2716","Eccentrie","RT @RickCanton: TAKE THE PLEDGE!

Tell the @GOP - @realDonaldTrump won't get your vote. No matter what.

#NeverTrump #Election2016 https://…"
"2717","SangHeffa","""We're gonna bring IT back"" - @realDonaldTrump WTF is this ""IT"" you speak of ya racist @GOP FUQ? #Election2016"
"2718","sharondoud","Now on @CBSNLive: @AMGreenCBS + @jamieyuccas interview @realDonaldTrump #brusselsattack #Election2016"
"2719","BiekerLori","RT @RealAlexJones: Filmmaker Reveals Difference Between @realDonaldTrump And @tedcruz - https://t.co/SWuQiBvOMz #gop #election2016"
"2720","DaveDoom2008","RT @RickCanton: TAKE THE PLEDGE!

Tell the @GOP - @realDonaldTrump won't get your vote. No matter what.

#NeverTrump #Election2016 https://…"
"2721","russellwestofa","@CNNPolitics confused @BernieSanders supporter with @realDonaldTrump umbrella #Chicago #Election2016 @WGNNews https://t.co/r4zE3x16OK"
"2722","YoMommaObama69","RT @VineDelGiorno: .@realDonaldTrump vs. @BernieSanders #Election2016 #BirdieSanders #trumpvine (Vine by @ddeleven) https://t.co/LyM5KDIWgu"
"2723","BirdTypeGlitch","RT @VineDelGiorno: .@realDonaldTrump vs. @BernieSanders #Election2016 #BirdieSanders #trumpvine (Vine by @ddeleven) https://t.co/LyM5KDIWgu"
"2724","NanfromSC","RT @RickCanton: TAKE THE PLEDGE!

Tell the @GOP - @realDonaldTrump won't get your vote. No matter what.

#NeverTrump #Election2016 https://…"
"2725","BlueJaysLifer","RT @RickCanton: TAKE THE PLEDGE!

Tell the @GOP - @realDonaldTrump won't get your vote. No matter what.

#NeverTrump #Election2016 https://…"
"2726","vivelafra","RT @eOpinion: WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016   https://t.co/eIAXTUfepr"
"2727","eopiniontv","WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016   https://t.co/YgbT2gFmpM"
"2728","PeOl2015","RT @TheStudentTimes: V USA dochází k prvním ostrejším stretum mezi @realDonaldTrump a @BernieSanders #Election2016 https://t.co/vC1ekYbttD"
"2729","politicalsplash","Stop comparing @realDonaldTrump to Hitler. Hitler never dodged serving in his country's military. #politicalsplash #election2016"
"2730","CGizzarelli","Wonder why People are Voting for TRUMP? @CNN  https://t.co/0XZXqsMiAk @realDonaldTrump #poll #Election2016 #DonaldTrump #voting #Vote2016"
"2731","itsmesetfree","RT @RickCanton: TAKE THE PLEDGE!

Tell the @GOP - @realDonaldTrump won't get your vote. No matter what.

#NeverTrump #Election2016 https://…"
"2732","lauren_linder",".@tedcruz rallied in Rothschild today. Now @realDonaldTrump will be in Wausau on 4/2. Who else will travel to Central #WI? #election2016"
"2733","BigGator5","#Trump2016: Get A @realDonaldTrump (Large, #NavyBlue) #TShirt Today! https://t.co/3aZwbj8EWW #tcot #p2 #election2016 (056)"
"2734","golfexcess","RT @infowars: The Republicans are Already Stealing the Nomination from @realDonaldTrump - https://t.co/VVOTRVXRBk #Election2016"
"2735","moviluptech","RT @RealAlexJones: The Republicans are Already Stealing the Nomination from @realDonaldTrump - https://t.co/9G41t8uWfr #Election2016"
"2736","HuJack007","RT @infowars: The Republicans are Already Stealing the Nomination from @realDonaldTrump - https://t.co/VVOTRVXRBk #Election2016"
"2737","CHETRA744","RT @eOpinionTvNews: WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016   https://t.co/CbjbTAN3jR"
"2738","RoseyDavis1","RT @France4Hillary: Who do you think will stop racist, lying, sexist, vulgar, juvenile, dangerous @realDonaldTrump? #Election2016"
"2739","gcool06",".USA_Tomorrow I think it goes something like ""@realDonaldTrump vs. @HillaryClinton turns #Nasty @NASA @Election2016 #ElectTrump2016 #Tristan"
"2740","DaveFriedel","The @realDonaldTrump is the Jersey Shore of politics. That's why we watch idiots on TV. #Election2016"
"2741","Ednasroman","RT @3paulas: #Hispanic leaders urge NBC to cut ties to @realDonaldTrump http://t.co/m5ArucyLGO #USlatino #Election2016 #GOPracists #Politics #VOTOLatino"
"2742","TheUSALifeStyle","@realDonaldTrump #DonaldTrump #TRUMP2016 #republican @GOP #Election2016 #USA #Politics #2015 #2016 http://t.co/DqmEpY6EJD"
"2743","zriha","Joke of the day, make a donation to @realDonaldTrump LOL :) #Election2016 http://t.co/aIwhBfuPEg"
"2744","dnagcdcocom","The #Election2016 #GOP now has a driver for their #clowncar. @realDonaldTrump , come on board!"
"2745","realDonaldTrump","""@ChipB: Like him or not @realDonaldTrump says EXACTLY what he thinks and doesn't beat around the bush. And that's admirable. #Election2016"""
"2746","yesSir68","RT @kkchacha: RT-to-Vote, #Election2016 :I vote for @realDonaldTrump in theClash #GOPPrimary at http://t.co/UN7hW7uhLI"
"2747","ScottPMcGovern","http://t.co/3HzxGOuRsk @realDonaldTrump or @HillaryClinton ? Vote now! #Election2016"
"2748","Sean_MHartigan","RT @realDonaldTrump: ""@TheUSALifeStyle: @GOP #DonaldTrump #Election2016 (it will happen) GOP MUST SUPPORT Donald Trump #GOP #Politics http://t.co/CdqPiUedqs"""
"2749","golden_girl779","RT @realDonaldTrump: ""@ChipB: Like him or not @realDonaldTrump says EXACTLY what he thinks and doesn't beat around the bush. And that's admirable. #Election2016"""
"2750","TheUSALifeStyle","@realDonaldTrump @GOP #DonaldTrump #Election2016 (it will happen) GOP MUST SUPPORT Donald Trump #GOP #Politics http://t.co/GVmyysiRrB"
"2751","Jim_Peoples_","RT @realDonaldTrump: ""@ChipB: Like him or not @realDonaldTrump says EXACTLY what he thinks and doesn't beat around the bush. And that's admirable. #Election2016"""
"2752","PattyDs50","RT @realDonaldTrump: ""@ChipB: Like him or not @realDonaldTrump says EXACTLY what he thinks and doesn't beat around the bush. And that's admirable. #Election2016"""
"2753","BennettJr8","RT @realDonaldTrump: ""@ChipB: Like him or not @realDonaldTrump says EXACTLY what he thinks and doesn't beat around the bush. And that's admirable. #Election2016"""
"2754","David_j_Mullin",".@realDonaldTrump Those who malign CHARITY have not charity or honour.
#Trump2016 #Election2016 #Jeb2016"
"2755","LibrulDolphin","RT @Cheezburger: These cats are ready for #Election2016 with their fabulous new @realDonaldTrump hairdos. http://t.co/C6baerEyHN http://t.co/z5AYVhfTmz"
"2756","RealJasonMiller","Just realized @realDonaldTrump is a real candidate for #potus #Election2016 http://t.co/UolLTfo8NP"
"2757","Carlos_Spitia","RT @CriticalReading: 400 years too late @realDonaldTrump #Election2016 http://t.co/J8WBx5KBuK"
"2758","e_nelsy","RT @ImmigranNacion: @realDonaldTrump #Latinos Ready to go? #Election2016  #RepublicanPiñatas big SALE!

#gopclowncar #TNTVote #AINF http://t.co/myckWQ90TV"
"2759","chrisjdavies59","@realDonaldTrump impressive so far! You can only win with the facts #Election2016"
"2760","Army_WO_Pilot","RT @Vote4Wallace: Gallup: .@realDonaldTrump is by far the most widely recognized GOP candidate #Trump2016 #Election2016 http://t.co/aEML4ZA2g2"
"2761","lizfrantz","Lots to see at yesterday's @realDonaldTrump rally! http://t.co/HnCmEDXzvP #FITN #NHpolitics #Election2016 #Trump2016 http://t.co/5ceHQBvSSo"
"2762","Abocco","So @realDonaldTrump is doing well in polls for #POTUS. Interesting. McCain will run? @HillaryClinton too. Gonna be an exciting #election2016"
"2763","DaBearsk","RT @foxnation: . @tedcruz : #GOP Establishment Is Ditching @marcorubio For @realDonaldTrump https://t.co/xtYdiV75fy #Election2016"
"2764","Ride_the_bomb","For @realDonaldTrump in 682 words see https://t.co/Fj2zVWkNdR #tcot #Election2016 #Republicans #GOP #vote https://t.co/fFesRiCQyG"
"2765","kamensky1955","RT @WendyLynnDay: Class of 2016.  #Election2016 @tedcruz @realDonaldTrump @marcorubio @CarlyFiorina @BenCarson2016 @JebBush @RandPaul https…"
"2766","ajalsevac","RT @WendyLynnDay: Class of 2016.  #Election2016 @tedcruz @realDonaldTrump @marcorubio @CarlyFiorina @BenCarson2016 @JebBush @RandPaul https…"
"2767","EX_TX_QB","My personal message to @tedcruz - Stop bashing @realDonaldTrump because you are going to be his VP. Period.

#TCOT #Election2016 #Trump2016"
"2768","reggriffin","If you're keeping score, @realDonaldTrump gets @williebosshog @SarahPalinUSA. @JebBush gets his mom. #Election2016"
"2769","GChamberlainAZ","@realDonaldTrump Sci research in1800 pointed toRisk associated with CO2 #Trump demonstrating scientific illiterate orNegligent #Election2016"
"2770","cunningstudent","Learn how politicians like @netanyahu, and others like @realDonaldTrump, are manipulating you #israel #Election2016 https://t.co/bO2euoLGw5"
"2771","NerdetteAngle","RT @RajiWahidy: Unfortunately this is what happens when u have no1 2 look up to @ home ! @realDonaldTrump #Republican #Election2016  https:…"
"2772","SillsCraig","America must vote 4 @RandPaul @tedcruz @realDonaldTrump #WakeUpAmerica #StandWithRand #CruzCrew #Trump #Election2016 https://t.co/pbU91UPLAa"
"2773","RobWindley","@realDonaldTrump If you lose #Election2016, will you still go to church?"
"2774","BrianBuckWargo","RT @paulmotty: #Election2016 The Sarah Palin Effect: 6 ways her @realDonaldTrump endorsement could impact… https://t.co/p9XwJsEInQ https://…"
"2775","jennifergfranco","@realDonaldTrump ""We don't have a President who knows how to negotiate"" #Election2016 #LittleRock #Trump"
"2776","PadZer_eire","Rumour has it @labour @alankellylabour to take over @realDonaldTrump #Election2016 campaign...#thick &amp; #ignorant &amp; #arrogant got him the job"
"2777","Mollycooper1","@realDonaldTrump congratulations! Your speech was fantastic and classy as well. On to New Hampshire #Trump2016 #IowaCaucus #Election2016"
"2778","NicholeDWBZ","Our new WBZ/@UMassAmherst poll shows @realDonaldTrump and @SenSanders with double digit leads in respective party races. #FITN #Election2016"
"2779","FrankyJCastro","Doesn't @realDonaldTrump look like the Queen of Hearts? Same policies toward their naysayers. #Election2016 https://t.co/FUfET6VtsK"
"2780","LoveIrreverence","#YouDidntHearThisFromMeBut 

Ah hell...everyone knows @realDonaldTrump 's hair was made with @wilw's #3DPrinter

#Election2016"
"2781","jeffreymorrison","@LarrySabato Same old @HillaryClinton @TheDemocrats blather and crap politics #gop #tcot @realDonaldTrump Bring on November #Election2016"
"2782","Eye4Eye","@realDonaldTrump #Election2016 #NewHampshirePrimary #Usa2016 #RepublicanNationalDebate #democraticdebate #GOP #Trump https://t.co/9bkmjgO6TU"
"2783","NRO","Why @realDonaldTrump Doesn't Fit New Hampshire

Hint: FREEDOM 

https://t.co/YyFwFvGmMS
#NHPrimary #Election2016 https://t.co/Vm7m7nKpXS"
"2784","nmuaddi","Seriously?! How is this real?! @RealDonaldTrump just crossed a new line in #US politics: https://t.co/xvF3ckdXwt / #Election2016"
"2785","edenfolwell","Painting of @realDonaldTrump by Illma Gore. ""Make America Great Again"" #Trump2016 #Election2016   #FeelTheBern https://t.co/scyHxTPxcx"
"2786","CarolBarnhill","RT @KitDaniels1776: Here's Proof @realDonaldTrump Can Win Presidency --&gt; Crossover support! https://t.co/XXkCzw5MPS #tcot #Election2016 htt…"
"2787","postandcourier","""We're through the roof. We are high,"" says @realDonaldTrump on #SouthCarolina poll numbers. #Election2016"
"2788","lisafedup","RT @KitDaniels1776: Here's Proof @realDonaldTrump Can Win Presidency --&gt; Crossover support! https://t.co/XXkCzw5MPS #tcot #Election2016 htt…"
"2789","ahernandez85a","RT @RiskRewardFBN: .@KatrinaPierson on @realDonaldTrump and his speaking style #Election2016 @DeirdreBolton @FoxBusiness https://t.co/2KyVW…"
"2790","elixirBlack","RT @RiskRewardFBN: .@KatrinaPierson on @realDonaldTrump and his speaking style #Election2016 @DeirdreBolton @FoxBusiness https://t.co/2KyVW…"
"2791","vatanpoonia","@SenTedCruz  and @marcorubio  definitely have themselves under attack from @realDonaldTrump  wave, #Election2016"
"2792","hscbored","Watching the #GOPDebate on @CBS ? Tell us your thoughts! #Election2016 @GOP @JebBush @realDonaldTrump @JohnKasich @tedcruz @marcorubio"
"2793","123_talent","RT @foxnation: Poll: @realDonaldTrump Leads Big With Latinos https://t.co/FpElaeE6or #Election2016 #DonaldTrump"
"2794","askmewhyidrink","@BillDayToons Latest: @realDonaldTrump storms into Tampa Bay #FlaPol #Election2016 https://t.co/zXD0CTy8Z4"
"2795","NoMoreTeaForMe","C'mon now..do you ppl support @BernieSanders or @realDonaldTrump ? WHY act like HIS supporters? https://t.co/HL1ZzTQW6P #Election2016 #p2"
"2796","TomVargheseJr",". "" @realDonaldTrump won't last""
"" @SenSanders will be trounced""

Experts wrong so far. 
Make your own informed decision.
#Election2016"
"2797","Scrufey21","RT @Election16Polls: Who would u choose? #Election2016  @helpingthos @GOP @realDonaldTrump @marcorubio @tedcruz @JebBush"
"2798","emmagdavis02","RT @KHOU: 7 things @realDonaldTrump actually said Monday https://t.co/6JOTD56B9j #Election2016"
"2799","katypillar70","RT @RickCanton: ""I basically despise you people. I don't even wanna be here."" - @realDonaldTrump

#SCPrimary #FITS #Election2016 https://t.…"
"2800","ricgruber","This is great...@realDonaldTrump just owned @JebBush - click https://t.co/SsDJ8FcqPk haha #Election2016"
"2801","davidSrauf","RT @TexasTribune: .@tedcruz challenges @realDonaldTrump to sue him over TV ad, @PatrickSvitek reports. https://t.co/rxfcK8yuye #Election2016"
"2802","RadtkeKarl","#Obama setngup a#voting#conspiracy #election2016 doesntbelieve#realdonaldtrump will win&amp;now hasfaith n theAmericanpeople statd several times"
"2803","LeftePropaganda","Rock on! #Election2016 <f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8> ""It only causes more trouble when somebody from outside our country talks about @realDonaldTrump"" - @JebBush"
"2804","MedBoardReform","RT @MegKinnardAP: Supporters hiked in to see @realDonaldTrump in Gaffney tonight. #SCPrimary #Election2016 https://t.co/oGAlV1DOqQ"
"2805","epaulkelly","@realDonaldTrump is just painful.  He is a brash, self-congratulatory clown.  #GOPTownHall #election2016"
