"","screenname","tweets"
"96","DarylMarshall","RT @Rasmussen_Poll: #GOP Voters More Convinced Than Ever That @realDonaldTrump Is Their Guy... https://t.co/d4KUdSs5ye #Election2016"
"97","rsultzba","RT @Rasmussen_Poll: #GOP Voters More Convinced Than Ever That @realDonaldTrump Is Their Guy... https://t.co/d4KUdSs5ye #Election2016"
"98","davidi2020","We've been Trumped!  @realDonaldTrump #Election2016 #gop https://t.co/9dFTqyqxJi"
"99","hef229","@sallykohn on @cnnbrk this AM re: @realDonaldTrump &amp; his post #SuperTuesday status: ""This isn't funny anymore."" #Election2016"
"100","john_z8","RT @JudgeJeanine: After my interview with @realDonaldTrump. Am I standing with the next president of the United States? #Election2016 http://t.co/5NJX2JzLCj"
"101","aldotcom","Tonight's crowd for @realDonaldTrump could be 1 of the largest to attend an #election2016 primary event  http://t.co/d2wIIy648o #alpolitics"
"102","jtedhall","Just curious about the majority opinion: exactly what color would you say @realDonaldTrump hair is right now? #Election2016 #tcot"
"103","aldotcom","If @realDonaldTrump draws 40,000 to Mobile tonight, it will be the biggest #election2016 event so far http://t.co/j6iQFt6SVO #alpolitics"
"104","jischinger","@TheViewersView these two ladies follow @realDonaldTrump AND the @DalaiLama what's not to like? cheers! #Election2016 http://t.co/eHccuDPzir"
"105","GSPMgwu","New from GSPM's @MattDallek: if #Biden runs, he can be the Democratic answer to @realDonaldTrump  #election2016 http://t.co/SN8W7lytzO"
"106","hokijamoki","RT @realDonaldTrump: ""@ladycatherinecd @realDonaldTrump he has more smarts than any one of the politicians - he TRUMPED again !  #Trump #tcot #Election2016"""
"107","KyleJKilkenny","Tiffany's Thoughts on @realDonaldTrump. #Election2016 https://t.co/afWRGHRsbX"
"108","marty_halverson","RT @OpposingViews: Do you think @realDonaldTrump has an advantage among fellow presidential candidates because of this? #Election2016 http://t.co/v7U8MFfbq8"
"109","pmatons","RT @JudgeJeanine: After my interview with @realDonaldTrump. Am I standing with the next president of the United States? #Election2016 http://t.co/5NJX2JzLCj"
"110","nanaziegler","RT @JudgeJeanine: After my interview with @realDonaldTrump. Am I standing with the next president of the United States? #Election2016 http://t.co/5NJX2JzLCj"
"111","MitziBorromeo","RT @globalcriterion: Discussing #Philippines #economy, #leadership, and @realDonaldTrump #Election2016 w/ @MitziBorromeo @cnnphilippines http://t.co/LjU6whYUZq"
"112","S_Leeds","RT @JudgeJeanine: After my interview with @realDonaldTrump. Am I standing with the next president of the United States? #Election2016 http://t.co/5NJX2JzLCj"
"113","dolnglukebrooks","RT @Zerkosis: Really want to see what would happen if @realDonaldTrump was elected president. <f0><U+009F><U+0098><U+0082> #2016 #Election2016"
"114","DavidGZeiler","Here's how an independent @realDonaldTrump would skew #Election2016 if #JebBush and #HillaryClinton are the nominees: http://t.co/klNgQ4QpIm"
"115","philyvanilly","@WorldOfStu no more free time for @realDonaldTrump <f0><U+009F><U+0092><U+00AF>douche #DumpTrump #Election2016 Don't allow him to set the stage anymore! @glennbeck"
"116","DrBelasen","I hope @realDonaldTrump doesn't rule out an Independent bid. It would reduce his leverage in the #GOPprimary #Election2016"
"117","agentc2","I'm sure @realDonaldTrump will start calling @RealBenCarson names pretty soon. #IowaPoll #Election2016 https://t.co/wdsGVfTAnS"
"118","lauraherreranj","@realDonaldTrump if you can't take the heat, get out of the kitchen! #trumpisajoke #jorgeramos #copout #Election2016 #cnn #stepupyourgame"
"119","MiceeMouse","RT @realDonaldTrump: ""@ladycatherinecd @realDonaldTrump he has more smarts than any one of the politicians - he TRUMPED again !  #Trump #tcot #Election2016"""
