timestamp,Screenname,text
2017-03-28 18:01:24 +0000,MerolaTile,Please RT if you would use Galaxy Hex Bronze as a back splash! https://t.co/TGOr4QBEaK #interiordesign https://t.co/yOs4LCX1iH
2017-03-28 16:01:27 +0000,MerolaTile,"Lusting after this spacious, simple Virginia farmhouse. So much light and room for memories! https://t.co/tt5rlhuipY #houzz #interiors https://t.co/87S19d1eCL"
2017-03-28 14:01:13 +0000,MerolaTile,"Who doesn't love a classic basketweave? Use this as as powder room floor or a back splash to add a timeless, classy touch to your space! https://t.co/6nS9eLk7SA"
2017-03-27 19:53:13 +0000,MerolaTile,RT @TileutopiaCom: #tiletuesday https://t.co/lyLvPdJzSB
2017-03-27 19:52:22 +0000,MerolaTile,@Nemo_Tile This is such an awesome design! Looks great _Ÿ‘Œ
2017-03-27 19:50:29 +0000,MerolaTile,RT @CHISanDiego: A vanity with some style! Subway tile can look beautiful in any space! What do you think? #subwaytile #bathroom #remodel #â€_
2017-03-27 19:50:19 +0000,MerolaTile,That marble is amazing! _Ÿ˜ç #interiordesign https://t.co/WHMaW8dPsh
2017-03-27 19:49:13 +0000,MerolaTile,@TransEuroStone The texture and depth on that is super cool!
2017-03-27 16:00:23 +0000,MerolaTile,Charmed by New York Brownstones? You NEED to see how two brownstones were turned into one gorgeous house! https://t.co/Gkblb1IaMx #houzz https://t.co/ANeNBre7Ia
2017-03-27 14:13:05 +0000,MerolaTile,"RT @MerolaTileNY: Marble back splashes are so simple, elegant, and timeless! See how this house uses marble in an understated design https:â€_"
2017-03-22 14:36:55 +0000,MerolaTile,RT @MerolaTileNY: Be the first to carry our new Marble Mosaics Collection! https://t.co/n8VAZk5wcd #interiordesign #tile https://t.co/Sksp1â€_
2017-03-21 16:01:16 +0000,MerolaTile,"Marble back splashes are so simple, elegant, and timeless! See how this house uses marble in an understated design https://t.co/N1L3BFEmaY https://t.co/o31iPU2yKt"
2017-03-20 18:51:46 +0000,MerolaTile,RT @LushDecor: Home Decor That Can Help Improve Your Luck - https://t.co/BYbxqh0gIV via @HuffPostBlog #HomeDecor #HomeDecorating #FengShuiâ€_
2017-03-20 18:50:22 +0000,MerolaTile,"RT @MirrorManiaCoUk: Bridget Beari Design Chat: What is Bridget Beari Dreaming About...Copper Tubs! - https://t.co/nD8ODwQUzu
#interiordesâ€_"
2017-03-20 17:07:16 +0000,MerolaTile,RT @ArchitecFeedd: Please RT #interiordesign #homedecor #decoration Bohemian home in Norway https://t.co/AwGmh67i0P https://t.co/OuW8OZDfoC
2017-03-20 16:45:59 +0000,MerolaTile,RT @Moda5Cabinetry: thanks for following! @ContractorsCom @ponga @DesignNArchiDA  @deslaurierCC @property_scout @MerolaTileNY @housefax @Inâ€_
2017-03-17 19:01:02 +0000,MerolaTile,What's your answer? Tweet your answers to @DipClosetDesign! _Ÿ™‚#Interiors #interiordesign https://t.co/I7Kd1d0quk
2017-03-17 18:56:43 +0000,MerolaTile,Happy St Patrick's Day to our new followers! @CColorways @Moda5Cabinetry @MiaCon_Show @asouthernbucket @TContractFloors @CostaSons
2017-03-17 14:01:33 +0000,MerolaTile,A bold yet timeless design for a Texan home...definitely worth a read! https://t.co/sd5cnwd02I #houzz #interiors https://t.co/LgEM7BuwqT
2017-03-16 20:01:09 +0000,MerolaTile,Be the first to carry our new Marble Mosaics Collection! https://t.co/n8VAZk5wcd #interiordesign #tile https://t.co/Sksp1gzTXL
2017-03-16 20:01:06 +0000,MerolaTile,"A mix of moody and fresh, old and new--this CT farmhouse is has a surprise around every corner! https://t.co/fyTi83o2WA #houzz #interiors https://t.co/DC9gD5hOla"
2017-03-16 16:01:38 +0000,MerolaTile,Make a statement with Picasso Blue! Where would you use this bright tile? #interiordesign #interiors https://t.co/v0YxepvYuu
2017-03-16 14:01:07 +0000,MerolaTile,These boho vibes have us dreaming of warmer weather! https://t.co/jEpolM3Z4K #interiordesign #houzz https://t.co/oYkjUNss7V
2017-03-15 17:09:58 +0000,MerolaTile,"RT @ActionComplete: All your dreams can come true, if you have the courage to pursue them.
~Walt Disney
#inspiration #quotes https://t.co/6â€_"
2017-03-15 17:00:32 +0000,MerolaTile,"If you didn't check out this modern farmhouse, you're missing out! Such an inspiring space! https://t.co/9HjyfINbJv #houzz #interiordesign https://t.co/IwJEqKGMXx"
2017-03-14 16:00:26 +0000,MerolaTile,"A beautiful ""modern farmhouse"" look with a low carbon footprint. Could it get any better? https://t.co/9HjyfINbJv #houzz #ecofriendly https://t.co/A2jiUPGgqv"
